agar, ag
almandine, alm
aluminiumsulfite, aluminiums
alunite, alun
americium, amer
amethyst, amet
ammoniumchloride, amm
andesite, ande
andradite, andr
annealedcopper, ann
antimonytrifluoride, antimonytrif
antimonytrioxide, antimonytrio
apatite, ap
arsenictrioxide, arsenict
asbestos, asb
ash, ash
bandediron, ban
barite, barit
bariumsulfide, bariums
basalticmineralsand, basalti
bastnasite, bast
batteryalloy, bat
bauxiteslag, bauxites
bentonite, ben
beryllium, ber
biotite, bio
biphenyl, bip
bismuthbronze, bismuthb
blackbronze, blackb
blacksteel, blacks
blaze, blaz
bluealloy, bluea
bluesteel, blues
bluetopaz, bluet
bolt, bol
bone, bon
borax, bora
bornite, born
boron, boron
borosilicateglass, boros
brass, bra
brick, bri
bronze, bron
brownlimonite, brow
cadmium, cad
caesium, cae
calcite, calcit
calciumchloride, calciumc
calciumphosphide, calciump
caprolactam, cap
carbon, car
cassiteritesand, cassiterites
cerium, ceri
certusquartz, cert
chalcocite, chalcoc
chalcopyrite, chalcop
charcoal, char
chrome, chrome
chromite, chromit
chromiumtrioxide, chromiu
cinnabar, ci
clay, cl
coal, coa
cobaltbrass, cobaltb
cobaltite, cobalti
cobaltoxide, cobalto
cocoa, coc
coke, cok
collagen, col
concrete, con
cooperite, coo
copper, cop
crushedCentrifuged, crushedC
crushedPurified, crushedP
cupricoxide, cupri
cupronickel, cupro
cyclohexanoneoxime, cy
damascussteel, dam
darkash, dark
darmstadtium, darm
diamond, diam
diatomite, diat
diorite, dio
dulysite, dul
duranium, dur
dustImpure, dustI
dustPure, dustP
dustSmall, dustS
dustTiny, dustT
electrotine, electro
electrum, electru
emerald, em
endereye, endere
enderpearl, enderp
endstone, ends
enrichednaquadahsulfate, enrichednaquadahs
enrichednaquadahtriniumeuropiumduranide, enrichednaquadaht
epoxy, ep
europium, eu
ferritemixture, ferri
ferrosilite, ferro
fireclay, fi
flint, fl
foil, fo
fullersearth, fu
galena, gale
galliumarsenide, galliuma
galliumsulfide, galliums
garnetred, garnetr
garnetsand, garnets
garnetyellow, garnety
garnierite, garni
gearSmall, gearS
gelatin, gel
gemExquisite, gemE
gemFlawless, gemF
glass, glas
glauconitesand, glau
glowstone, glo
gold, go
graniteblack, graniteb
granitered, graniter
graniticmineralsand, graniti
graphene, graphe
graphite, graphi
greensapphire, gre
grossular, gro
gunpowder, gu
gypsum, gy
hafnia, hafnia
hafniumtetrachloride, hafniumt
hsse, hsse
hssg, hssg
hsss, hsss
ice, ic
ilmeniteslag, ilmenites
inconel718, inc
indiumgalliumphosphide, indiumg
indiumphosphide, indiump
indiumtinbariumtitaniumcuprate, indiumt
inertmetalmixture, ine
ingotHot, ingotH
invar, inv
iridiumchloride, iridiumc
iridiummetalresidue, iridiumm
ironmagnetic, ironm
kaemanite, kae
kanthal, kan
kyanite, ky
lanthanum, lan
lapis, lapi
lapotron, lapo
laurite, lau
lazurite, laz
lead, lea
lens, len
lepidolite, lep
lithiumchloride, lithiumc
lutetium, lu
magnalium, magna
magnesia, magnesia
magnesite, magnesit
magnesiumchloride, magnesiumc
magnesiumdiboride, magnesiumd
magnetite, magnet
malachite, mal
manganesephosphide, manganesep
marble, mar
massicot, mas
meat, mea
mercurybariumcalciumcuprate, mer
metalmixture, met
mica, mic
mirabilite, mir
molybdenite, molybdeni
molybdenum, molybdenu
monazite, mon
naquadahalloy, naquadaha
naquadahenriched, naquadahe
naquadriasulfate, naquadrias
neodymiummagnetic, neodymiumm
netherquartz, netherq
netherrack, netherr
netherstar, nethers
neutronium, neu
nichrome, nich
nickelzincferrite, nickelz
niobiumnitride, niobiumn
niobiumtitanium, niobiumt
nugget, nu
obsidian, ob
oilsands, oi
olivine, ol
opal, op
osmiridium, osmir
osmiumtetroxide, osmiumt
palladiumraw, palladiumr
paper, pap
pentlandite, pen
perlite, per
phosphate, phospha
phosphoruspentoxide, phosphorusp
pitchblende, pi
plastic, plas
plateDense, plateDe
plateDouble, plateDo
platinumgroupsludge, platinumg
platinumraw, platinumr
platinumsludgeresidue, platinums
plutonium239, plutonium23
plutonium241, plutonium24
pollucite, poll
polybenzimidazole, polyb
polycaprolactam, polyc
polydimethylsiloxane, polyd
polyphenylenesulfide, polyp
polytetrafluoroethylene, polyt
polyvinylbutyral, polyvinylb
polyvinylchloride, polyvinylc
potash, potash
potassiumdichromate, potassiumd
potassiumfeldspar, potassiumf
potin, poti
powellite, pow
pyrite, pyri
pyrochlore, pyroc
pyrolusite, pyrol
pyrope, pyrop
quartzite, quartzi
quartzsand, quartzs
quicklime, qui
rareearth, raree
rarestmetalmixture, rares
rawrubber, rawr
rawstyrenebutadienerubber, raws
realgar, rea
redalloy, reda
redrock, redr
redsteel, redste
redstone, redsto
reinforcedepoxyresin, rei
rhodiumplatedpalladium, rhodiump
ring, ri
rocksalt, roc
rosegold, ros
rotor, rot
round, rou
rtmalloy, rt
rubber, rubb
ruby, ruby
ruridit, rur
rutheniumtetroxide, rutheniumte
rutheniumtriniumamericiumneutronate, rutheniumtr
rutile, ruti
saltpeter, saltp
samariumironarsenicoxide, samariumi
samariummagnetic, samariumm
sapphire, sap
scheelite, sch
screw, scr
silicondioxide, silicond
siliconerubber, silicone
silver, silv
soapstone, soa
sodaash, sodaa
sodalite, sodal
sodiumbicarbonate, sodiumbic
sodiumbisulfate, sodiumbis
sodiumhydroxide, sodiumh
sodiumsulfide, sodiums
solderingalloy, sol
spessartine, spe
sphalerite, sph
spodumene, spo
springSmall, springS
stainlesssteel, sta
steelmagnetic, steelm
sterlingsilver, ster
stibnite, stib
stickLong, stickL
stone, sto
styrenebutadienerubber, sty
sugar, sug
sulfur, sul
talc, tal
tantalite, tantali
tantalum, tantalu
tetrahedrite, te
thorium, th
tinalloy, tina
titaniumtrifluoride, titaniumt
toolHeadBuzzSaw, toolHeadB
toolHeadChainsaw, toolHeadC
toolHeadDrill, toolHeadD
toolHeadScrewdriver, toolHeadS
toolHeadWrench, toolHeadW
topaz, top
treatedwood, tre
tricalciumphosphate, tric
triniumsulfide, triniums
tritanium, trit
trona, tro
tungstate, tungsta
tungstencarbide, tungstenc
tungstensteel, tungstens
tungsticacid, tungsti
turbineBlade, tur
ultimet, ul
uraninite, uranin
uranium235, uranium235
uranium238, uranium238
uraniumrhodiumdinaquadide, uraniumr
uraniumtriplatinum, uraniumt
uvarovite, uv
vanadiumgallium, vanadiumg
vanadiummagnetite, vanadiumm
vanadiumsteel, vanadiums
wheat, wh
wireFine, wi
wood, wo
wroughtiron, wr
wulfenite, wu
yellowlimonite, ye
yttriumbariumcuprate, yttriumb
zeolite, ze
zincite, zinci
zincsulfide, zincs
zircaloy4, zirca
zirconia, zirconia
zirconiumtetrachloride, zirconiumt
